성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대
남성,1948,무응답,없음,942.0,120.0,서울,74,경비원 및 검표원,노년
남성,1945,이혼,없음,942.0,220.2,서울,77,경비원 및 검표원,노년
남성,1946,결혼,없음,942.0,139.0,서울,76,경비원 및 검표원,노년
남성,1953,결혼,없음,942.0,150.0,서울,69,경비원 및 검표원,노년
남성,1960,결혼,있음,942.0,166.0,서울,62,경비원 및 검표원,노년
남성,1939,결혼,있음,942.0,241.61901596892534,서울,83,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,150.0,수도권,75,경비원 및 검표원,노년
남성,1952,이혼,없음,942.0,170.0,서울,70,경비원 및 검표원,노년
남성,1949,결혼,있음,942.0,100.0,서울,73,경비원 및 검표원,노년
남성,1942,결혼,있음,942.0,120.0,서울,80,경비원 및 검표원,노년
남성,1944,결혼,있음,942.0,160.0,서울,78,경비원 및 검표원,노년
남성,1947,결혼,없음,942.0,150.8,서울,75,경비원 및 검표원,노년
남성,1961,무응답,없음,942.0,174.0,서울,61,경비원 및 검표원,노년
남성,1949,결혼,있음,942.0,147.0,서울,73,경비원 및 검표원,노년
남성,1956,무응답,없음,942.0,152.0,서울,66,경비원 및 검표원,노년
남성,1935,결혼,있음,942.0,70.0,서울,87,경비원 및 검표원,노년
남성,1952,결혼,없음,942.0,120.0,부산/경남/울산,70,경비원 및 검표원,노년
남성,1948,결혼,있음,942.0,130.0,부산/경남/울산,74,경비원 및 검표원,노년
남성,1955,결혼,없음,942.0,140.8,부산/경남/울산,67,경비원 및 검표원,노년
남성,1939,결혼,없음,942.0,83.0,부산/경남/울산,83,경비원 및 검표원,노년
남성,1955,결혼,있음,942.0,147.0,부산/경남/울산,67,경비원 및 검표원,노년
남성,1947,결혼,없음,942.0,130.0,부산/경남/울산,75,경비원 및 검표원,노년
남성,1945,무응답,있음,942.0,86.0,부산/경남/울산,77,경비원 및 검표원,노년
남성,1944,결혼,있음,942.0,90.0,부산/경남/울산,78,경비원 및 검표원,노년
남성,1949,결혼,없음,942.0,120.0,부산/경남/울산,73,경비원 및 검표원,노년
남성,1945,결혼,있음,942.0,117.8,부산/경남/울산,77,경비원 및 검표원,노년
남성,1960,이혼,없음,942.0,250.0,대구/경북,62,경비원 및 검표원,노년
남성,1957,결혼,없음,942.0,100.0,대구/경북,65,경비원 및 검표원,노년
남성,1942,결혼,없음,942.0,241.61901596892534,대구/경북,80,경비원 및 검표원,노년
남성,1953,결혼,있음,942.0,126.0,수도권,69,경비원 및 검표원,노년
남성,1943,결혼,있음,942.0,100.0,수도권,79,경비원 및 검표원,노년
남성,1942,결혼,있음,942.0,120.0,수도권,80,경비원 및 검표원,노년
남성,1940,결혼,없음,942.0,241.61901596892534,수도권,82,경비원 및 검표원,노년
남성,1943,결혼,없음,942.0,139.0,수도권,79,경비원 및 검표원,노년
남성,1941,결혼,있음,942.0,124.0,수도권,81,경비원 및 검표원,노년
남성,1943,무응답,없음,942.0,127.0,광주/전남/전북/제주도,79,경비원 및 검표원,노년
남성,1942,결혼,있음,942.0,120.4,광주/전남/전북/제주도,80,경비원 및 검표원,노년
남성,1954,결혼,없음,942.0,135.0,광주/전남/전북/제주도,68,경비원 및 검표원,노년
남성,1944,결혼,있음,942.0,95.0,대전/충남,78,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,140.0,수도권,75,경비원 및 검표원,노년
남성,1951,결혼,있음,942.0,169.0,수도권,71,경비원 및 검표원,노년
여성,1973,결혼,없음,942.0,130.0,수도권,49,경비원 및 검표원,중년
남성,1946,결혼,있음,942.0,131.7,수도권,76,경비원 및 검표원,노년
남성,1953,결혼,있음,942.0,109.0,수도권,69,경비원 및 검표원,노년
여성,1970,결혼,있음,942.0,241.61901596892534,수도권,52,경비원 및 검표원,중년
남성,1962,결혼,있음,942.0,205.0,수도권,60,경비원 및 검표원,노년
남성,1960,이혼,없음,942.0,200.0,수도권,62,경비원 및 검표원,노년
남성,1947,결혼,없음,942.0,130.0,수도권,75,경비원 및 검표원,노년
남성,1942,결혼,있음,942.0,108.0,수도권,80,경비원 및 검표원,노년
남성,1953,결혼,없음,942.0,140.0,수도권,69,경비원 및 검표원,노년
남성,1943,결혼,없음,942.0,140.0,수도권,79,경비원 및 검표원,노년
남성,1946,결혼,없음,942.0,130.0,수도권,76,경비원 및 검표원,노년
남성,1956,결혼,있음,942.0,130.0,강원/충북,66,경비원 및 검표원,노년
남성,1986,무응답,없음,942.0,210.0,강원/충북,36,경비원 및 검표원,중년
남성,1958,결혼,없음,942.0,314.2,강원/충북,64,경비원 및 검표원,노년
남성,1945,결혼,없음,942.0,70.9,강원/충북,77,경비원 및 검표원,노년
남성,1977,무응답,있음,942.0,170.0,강원/충북,45,경비원 및 검표원,중년
남성,1944,결혼,없음,942.0,125.0,강원/충북,78,경비원 및 검표원,노년
남성,1937,결혼,없음,942.0,178.8,강원/충북,85,경비원 및 검표원,노년
남성,1956,결혼,없음,942.0,153.33,대전/충남,66,경비원 및 검표원,노년
남성,1962,결혼,있음,942.0,165.0,광주/전남/전북/제주도,60,경비원 및 검표원,노년
남성,1952,결혼,있음,942.0,122.58,광주/전남/전북/제주도,70,경비원 및 검표원,노년
남성,1954,결혼,없음,942.0,144.3,광주/전남/전북/제주도,68,경비원 및 검표원,노년
남성,1949,결혼,없음,942.0,131.0,광주/전남/전북/제주도,73,경비원 및 검표원,노년
남성,1952,무응답,있음,942.0,140.0,광주/전남/전북/제주도,70,경비원 및 검표원,노년
남성,1942,결혼,없음,942.0,90.0,광주/전남/전북/제주도,80,경비원 및 검표원,노년
