Micom EMCTL Data,Time Interval = 2 sec,Save Start Time:,"Thursday, February 21 08:25:23, 2019",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R32,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.0.5R,External:,"-"
Installer:,설치자명,EEPROM:,"7.232(7.e8)",COMP:,"-",FAN:,"-"
Model:,모델명,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,COMP모드,COMP최대,COMP최소,MAX제한사유,EEV모드,FAN 퍼지목표,COMP정시제어주기,COMP퍼지증분,EEV제어주기,EEV정시제어주기,EEV퍼지증분,EEV정시증분,제상단계,약계자제어,예열운전1,예열운전2,LOW AMBIENT운전,CT제한,방열판 제한,과전류 제어,과부하 제어,ACM,통신시도,RESET TIMER,대기전력상태,DC PEAK,DCLINK 에러,COMP실패 에러,CT2 에러,PFC 실패,실외FAN LOCK,INV토출카운트,HEATSINK카운트,COMP과전류,CPIPE카운트,고압스위치에러,실내기운전용량합,,,
1,08:25:23,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,69,0,1,0,70,0,0,0,0,0,,,
2,08:25:25,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,69,0,1,0,70,0,0,0,0,24,,,
3,08:25:27,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,69,0,1,0,70,0,0,0,0,24,,,
4,08:25:29,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,69,0,1,0,70,0,0,0,0,24,,,
5,08:25:31,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,69,0,1,0,71,0,0,0,0,24,,,
6,08:25:33,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,69,0,1,0,71,0,0,0,0,24,,,
7,08:25:35,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0,0,0,69,0,1,0,60,0,0,0,0,24,,,
8,08:25:37,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,69,0,1,0,60,0,0,0,0,24,,,
9,08:25:39,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
10,08:25:41,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
11,08:25:43,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
12,08:25:45,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
13,08:25:47,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
14,08:25:49,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
15,08:25:51,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
16,08:25:53,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
17,08:25:55,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,51,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
18,08:25:57,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
19,08:25:59,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
20,08:26:01,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
21,08:26:03,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
22,08:26:05,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,61,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
23,08:26:07,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,61,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
24,08:26:09,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,65,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
25,08:26:11,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,68,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
26,08:26:13,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,68,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
27,08:26:15,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,71,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
28,08:26:17,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,75,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
29,08:26:19,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,75,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
30,08:26:21,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,78,0,0,0,69,0,1,0,0,0,0,0,0,24,,,
