Micom IDU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, February 21 08:25:23, 2019",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R32,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.0.5R,External:,"-"
Installer:,설치자명,EEPROM:,"7.232(7.e8)",COMP:,"-",FAN:,"-"
Model:,모델명,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,습도1,,,,,
1,08:25:23,0,,,24,1,3,121,27.57,6.58,5.19,0,,100,0,0,220,,,,,
2,08:25:25,0,,,24,5,3,121,27.57,7.96,5.89,0,,96,0,0,220,,,,,
3,08:25:27,0,,,24,5,3,121,27.57,7.96,5.89,0,,96,0,0,220,,,,,
4,08:25:29,0,,,24,5,3,121,27.57,7.96,5.89,0,,96,0,0,220,,,,,
5,08:25:31,0,,,24,5,3,121,27.57,7.96,5.89,0,,96,0,0,220,,,,,
6,08:25:33,0,,,24,5,3,121,27.57,12.01,8.30,0,,96,0,0,220,,,,,
7,08:25:35,0,,,24,5,3,290,27.57,12.01,8.30,0,,100,0,0,220,,,,,
8,08:25:37,0,,,24,5,3,290,27.57,12.01,8.30,0,,97,0,0,220,,,,,
9,08:25:39,0,,,24,5,3,290,27.93,14.35,9.65,0,,97,0,0,220,,,,,
10,08:25:41,0,,,24,5,3,290,27.93,14.35,9.65,0,,97,0,0,220,,,,,
11,08:25:43,0,,,24,5,3,290,27.93,18.04,13.01,0,,97,0,0,220,,,,,
12,08:25:45,0,,,24,5,3,290,27.93,18.04,13.01,0,,97,0,0,220,,,,,
13,08:25:47,0,,,24,5,3,290,27.93,18.04,13.01,0,,97,0,0,220,,,,,
14,08:25:49,0,,,24,5,3,290,27.93,20.07,14.68,0,,100,0,0,220,,,,,
15,08:25:51,0,,,24,5,3,290,27.93,20.07,14.68,0,,97,0,0,220,,,,,
16,08:25:53,0,,,24,5,3,290,27.93,20.07,14.68,0,,97,0,0,220,,,,,
17,08:25:55,0,,,24,5,3,290,27.93,23.18,18.04,0,,97,0,0,220,,,,,
18,08:25:57,0,,,24,5,3,290,27.93,23.18,18.04,0,,100,0,0,220,,,,,
19,08:25:59,0,,,24,5,3,290,27.93,23.18,18.04,0,,100,0,0,220,,,,,
20,08:26:01,0,,,24,5,3,290,27.93,23.18,18.04,0,,100,0,0,220,,,,,
21,08:26:03,0,,,24,5,3,290,27.93,24.94,19.39,0,,100,0,0,220,,,,,
22,08:26:05,0,,,24,5,3,460,27.93,26.74,22.13,0,,98,0,0,220,,,,,
23,08:26:07,0,,,24,5,3,460,27.93,26.74,22.13,0,,98,0,0,220,,,,,
24,08:26:09,0,,,24,5,3,460,27.93,26.74,22.13,0,,98,0,0,220,,,,,
25,08:26:11,0,,,24,5,3,460,27.93,26.74,22.13,0,,100,0,0,220,,,,,
26,08:26:13,0,,,24,5,3,460,27.93,27.11,22.83,0,,100,0,0,220,,,,,
27,08:26:15,0,,,24,5,3,460,27.93,27.11,22.83,0,,100,0,0,220,,,,,
28,08:26:17,0,,,24,5,3,460,27.93,27.11,22.83,0,,98,0,0,220,,,,,
29,08:26:19,0,,,24,5,3,460,27.93,27.85,24.59,0,,98,0,0,220,,,,,
30,08:26:21,0,,,24,5,3,460,27.93,27.85,24.59,0,,98,0,0,220,,,,,
31,08:26:23,0,,,24,5,3,460,27.93,27.85,24.59,0,,98,0,0,220,,,,,
32,08:26:25,0,,,24,5,3,460,27.93,27.85,24.94,0,,100,0,0,220,,,,,
33,08:26:27,0,,,24,5,3,460,27.93,27.85,24.94,0,,100,0,0,220,,,,,
34,08:26:29,0,,,24,5,3,460,27.93,27.85,24.94,0,,100,0,0,220,,,,,
35,08:26:31,0,,,24,5,3,460,27.93,27.85,24.94,0,,98,0,0,220,,,,,
36,08:26:33,0,,,24,5,3,460,27.93,27.85,25.30,0,,98,0,0,220,,,,,
37,08:26:35,0,,,24,5,3,460,28.64,27.85,26.02,0,,98,0,0,220,,,,,
38,08:26:37,0,,,24,5,3,460,28.64,27.85,26.02,0,,100,0,0,220,,,,,
39,08:26:39,0,,,24,5,3,460,28.64,27.85,26.02,0,,100,0,0,220,,,,,
40,08:26:41,0,,,24,5,3,460,28.64,27.85,26.02,0,,100,0,0,220,,,,,
41,08:26:43,0,,,24,5,3,460,28.64,27.85,26.38,0,,100,0,0,220,,,,,
42,08:26:45,0,,,24,5,3,460,28.64,27.85,26.38,0,,98,0,0,220,,,,,
43,08:26:47,0,,,24,5,3,460,28.64,27.85,26.38,0,,98,0,0,220,,,,,
44,08:26:49,0,,,24,5,3,460,28.64,27.85,26.74,0,,98,0,0,220,,,,,
45,08:26:51,0,,,24,5,3,460,28.64,27.85,26.74,0,,100,0,0,220,,,,,
46,08:26:53,0,,,24,5,3,460,28.64,27.85,26.74,0,,100,0,0,220,,,,,
47,08:26:55,0,,,24,5,3,460,28.64,28.22,26.74,0,,100,0,0,220,,,,,
48,08:26:57,0,,,24,5,3,460,28.64,28.22,26.74,0,,98,0,0,220,,,,,
49,08:26:59,0,,,24,5,3,460,29.00,28.22,27.11,0,,98,0,0,220,,,,,
50,08:27:01,0,,,24,5,3,460,29.00,28.22,27.11,0,,98,0,0,220,,,,,
51,08:27:03,0,,,24,5,3,460,29.00,28.22,27.11,0,,98,0,0,220,,,,,
52,08:27:05,0,,,24,5,3,460,29.00,28.22,27.11,0,,100,0,0,220,,,,,
53,08:27:07,0,,,24,5,3,460,29.00,28.22,27.11,0,,100,0,0,220,,,,,
54,08:27:09,0,,,24,5,3,460,29.00,28.22,27.11,0,,100,0,0,220,,,,,
55,08:27:11,0,,,24,5,3,460,29.00,28.22,27.11,0,,98,0,0,220,,,,,
56,08:27:13,0,,,24,5,3,460,29.00,28.22,27.48,0,,98,0,0,220,,,,,
57,08:27:15,0,,,24,5,3,460,29.00,28.22,27.48,0,,99,0,0,220,,,,,
58,08:27:17,0,,,24,5,3,460,29.00,28.22,27.48,0,,100,0,0,220,,,,,
59,08:27:19,0,,,24,5,3,460,29.00,28.22,27.48,0,,100,0,0,220,,,,,
60,08:27:21,0,,,24,5,3,460,29.00,28.59,27.48,0,,100,0,0,220,,,,,
61,08:27:23,0,,,24,5,3,460,29.00,28.59,27.48,0,,100,0,0,220,,,,,
62,08:27:25,0,,,24,5,3,460,29.00,28.59,27.48,0,,99,0,0,220,,,,,
63,08:27:27,0,,,24,5,3,460,29.00,28.59,27.48,0,,99,0,0,220,,,,,
64,08:27:29,0,,,24,5,3,460,29.36,28.59,27.85,0,,99,0,0,220,,,,,
65,08:27:31,0,,,24,5,3,460,29.36,28.59,27.85,0,,100,0,0,220,,,,,
66,08:27:33,0,,,24,5,3,460,29.36,28.59,27.85,0,,100,0,0,220,,,,,
67,08:27:35,0,,,24,5,3,460,29.36,28.59,27.85,0,,100,0,0,220,,,,,
68,08:27:37,0,,,24,5,3,460,29.36,28.59,27.85,0,,99,0,0,220,,,,,
69,08:27:39,0,,,24,5,3,460,29.36,28.59,27.85,0,,99,0,0,220,,,,,
