Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, February 21 08:25:23, 2019",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R32,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.0.5R,External:,"-"
Installer:,설치자명,EEPROM:,"7.232(7.e8)",COMP:,"-",FAN:,"-"
Model:,모델명,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,,,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,,,,,,,,,,,,
1,08:25:23,0,,,0,0,0,,0,0,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,42.1,54.00,120.7,,,,,,,,,,,,
2,08:25:25,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.6,54.00,120.7,,,,,,,,,,,,
3,08:25:27,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.1,54.00,120.7,,,,,,,,,,,,
4,08:25:29,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.1,54.00,120.7,,,,,,,,,,,,
5,08:25:31,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,40.2,53.00,119.7,,,,,,,,,,,,
6,08:25:33,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,40.2,53.00,119.7,,,,,,,,,,,,
7,08:25:35,0,,,0,0,0,,0,0,0,,1.00,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,39.7,53.00,119.7,,,,,,,,,,,,
8,08:25:37,0,,,0,0,0,,0,0,0,,1.00,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.8,52.00,119.7,,,,,,,,,,,,
9,08:25:39,0,,,0,0,0,,0,0,0,,1.00,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.8,52.00,119.7,,,,,,,,,,,,
10,08:25:41,0,,,0,0,0,,0,0,0,,1.00,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.3,52.00,119.7,,,,,,,,,,,,
