Micom ODU2 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, February 21 08:25:23, 2019",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R32,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.0.5R,External:,"-"
Installer:,설치자명,EEPROM:,"7.232(7.e8)",COMP:,"-",FAN:,"-"
Model:,모델명,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,INV 입력전류,INV 입력전압,INV전원주파수,소비전력,INV1 목표DC,INV DC전압,전류 기준,Q축 기준,Q축 전류,D축 기준,D축 전류,INV 제한사유,,,,,,,,,,Comp. 과부하,Comp. 과전류,Heatsink제한,예열운전,,,,
1,08:25:23,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
2,08:25:25,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
3,08:25:27,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
4,08:25:29,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
5,08:25:31,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
6,08:25:33,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
7,08:25:35,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
8,08:25:37,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
9,08:25:39,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
10,08:25:41,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
11,08:25:43,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
12,08:25:45,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
13,08:25:47,0,,,0.0,177,60,0.00,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
