siter,time,운전모드,Error,ErrorUnit,COMP모드,COMP최대,COMP최소,MAX제한사유,EEV모드,FAN 퍼지목표,COMP정시제어주기,COMP퍼지증분,EEV제어주기,EEV정시제어주기,EEV퍼지증분,EEV정시증분,제상단계,약계자제어,예열운전1,예열운전2,LOW AMBIENT운전,CT제한,방열판 제한,과전류 제어,과부하 제어,ACM,통신시도,RESET TIMER,대기전력상태,DC PEAK,DCLINK 에러,COMP실패 에러,CT2 에러,PFC 실패,실외FAN LOCK,INV토출카운트,HEATSINK카운트,COMP과전류,CPIPE카운트,고압스위치에러,실내기운전용량합,Unnamed: 42,Unnamed: 43,Unnamed: 44,siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,습도1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,Unnamed: 8,현재고압,현재저압,COMP기준,Unnamed: 12,압축비,설정온도차,Unnamed: 15,Unnamed: 16,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,Unnamed: 35,Unnamed: 36,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,siter,time,운전모드,Error,ErrorUnit,INV 입력전류,INV 입력전압,INV전원주파수,소비전력,INV1 목표DC,INV DC전압,전류 기준,Q축 기준,Q축 전류,D축 기준,D축 전류,INV 제한사유,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Comp. 과부하,Comp. 과전류,Heatsink제한,예열운전,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
1,08:25:23,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,69,0,1,0,70,0,0,0,0,0,,,,1,08:25:23,0,,,24,1,3,121,27.57,6.58,5.19,0.0,,100,0,0,220,,,,,,1,08:25:23,0,,,0,0,0,,0,0,0,,1.0,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,42.1,54.0,120.7,,,,,,,,,,,,,1,08:25:23,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
2,08:25:25,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,69,0,1,0,70,0,0,0,0,24,,,,2,08:25:25,0,,,24,5,3,121,27.57,7.96,5.89,0.0,,96,0,0,220,,,,,,2,08:25:25,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.6,54.0,120.7,,,,,,,,,,,,,2,08:25:25,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
3,08:25:27,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,69,0,1,0,70,0,0,0,0,24,,,,3,08:25:27,0,,,24,5,3,121,27.57,7.96,5.89,0.0,,96,0,0,220,,,,,,3,08:25:27,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.1,54.0,120.7,,,,,,,,,,,,,3,08:25:27,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
4,08:25:29,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,69,0,1,0,70,0,0,0,0,24,,,,4,08:25:29,0,,,24,5,3,121,27.57,7.96,5.89,0.0,,96,0,0,220,,,,,,4,08:25:29,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,72.0,43.0,41.1,54.0,120.7,,,,,,,,,,,,,4,08:25:29,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
5,08:25:31,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,69,0,1,0,71,0,0,0,0,24,,,,5,08:25:31,0,,,24,5,3,121,27.57,7.96,5.89,0.0,,96,0,0,220,,,,,,5,08:25:31,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,40.2,53.0,119.7,,,,,,,,,,,,,5,08:25:31,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
6,08:25:33,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,69,0,1,0,71,0,0,0,0,24,,,,6,08:25:33,0,,,24,5,3,121,27.57,12.01,8.3,0.0,,96,0,0,220,,,,,,6,08:25:33,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,750,750,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,40.2,53.0,119.7,,,,,,,,,,,,,6,08:25:33,0,,,0.8,177,60,0.04,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
7,08:25:35,0,,,0,1,1,,5,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0,0,0,69,0,1,0,60,0,0,0,0,24,,,,7,08:25:35,0,,,24,5,3,290,27.57,12.01,8.3,0.0,,100,0,0,220,,,,,,7,08:25:35,0,,,0,0,0,,0,0,0,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,120,0,,,,,,,40.2,220.0,-48.7,-50.3,71.0,43.0,39.7,53.0,119.7,,,,,,,,,,,,,7,08:25:35,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
8,08:25:37,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,69,0,1,0,60,0,0,0,0,24,,,,8,08:25:37,0,,,24,5,3,290,27.57,12.01,8.3,0.0,,97,0,0,220,,,,,,8,08:25:37,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.8,52.0,119.7,,,,,,,,,,,,,8,08:25:37,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
9,08:25:39,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,9,08:25:39,0,,,24,5,3,290,27.93,14.35,9.65,0.0,,97,0,0,220,,,,,,9,08:25:39,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.8,52.0,119.7,,,,,,,,,,,,,9,08:25:39,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
10,08:25:41,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,10,08:25:41,0,,,24,5,3,290,27.93,14.35,9.65,0.0,,97,0,0,220,,,,,,10,08:25:41,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.3,52.0,119.7,,,,,,,,,,,,,10,08:25:41,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
