CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
1,1.2,1.6,1.7,1.4,2.1,1.0,1.4,2.0,1.4,1.1,47,120,47,10,47,120,20,10,120,120
2,1.5,1.5,1.6,2.5,2.2,0.8,1.5,1.7,1.4,0.9,47,120,47,10,47,120,20,10,120,120
3,1.2,1.8,1.6,2.2,2.2,0.8,1.2,1.9,1.6,1.0,47,120,47,10,47,120,20,10,120,120
4,1.1,1.3,1.4,1.4,2.0,0.8,1.4,2.1,1.4,1.0,47,120,47,10,47,120,20,10,120,120
5,1.2,1.4,1.7,1.5,2.1,0.8,1.2,2.0,1.2,1.0,47,120,47,10,47,120,20,10,120,120
6,1.1,1.4,1.5,1.5,2.0,0.6,1.2,1.7,1.3,1.0,47,120,47,10,47,120,20,10,120,120
7,1.2,1.5,1.6,1.6,2.0,0.8,1.3,1.9,1.3,1.1,47,120,47,10,47,120,20,10,120,120
8,1.2,1.5,1.5,1.7,2.2,0.8,1.3,1.9,1.4,1.1,47,360,47,10,47,360,10,10,120,120
9,1.2,1.5,1.5,1.5,2.1,0.9,1.3,1.8,1.4,1.1,47,120,47,10,47,120,20,10,120,120
10,1.4,1.6,1.6,1.5,2.1,0.9,1.3,1.7,1.2,1.1,47,120,47,10,47,120,20,120,120,120
11,1.1,1.6,1.6,1.4,2.2,0.8,1.4,1.8,1.4,1.1,47,120,47,10,47,120,10,10,120,120
12,1.1,1.5,1.6,1.6,2.1,0.9,1.3,1.8,1.4,1.1,47,120,10,10,47,120,10,10,120,120
13,1.0,1.5,1.7,1.5,1.8,0.8,1.2,1.8,1.2,1.1,47,120,10,10,47,120,20,10,120,120
14,1.3,1.4,1.5,1.3,2.0,1.0,1.4,2.0,1.3,1.0,47,120,120,10,47,120,20,120,120,120
15,1.2,1.6,1.9,1.4,2.2,0.9,1.3,2.0,1.4,1.2,47,120,120,10,47,120,10,10,120,120
16,1.2,1.6,1.7,1.6,2.3,0.9,1.3,1.9,1.4,1.1,47,120,47,10,47,120,10,10,120,120
17,1.3,1.6,1.8,1.5,2.2,0.9,1.2,1.8,1.3,0.9,47,120,120,10,47,120,20,10,120,120
18,1.1,1.6,1.6,1.3,2.1,1.1,1.3,1.7,1.2,1.1,47,120,47,10,47,120,10,10,120,120
19,1.3,1.4,1.7,1.4,2.2,0.8,1.3,1.9,1.3,1.1,47,120,47,10,47,120,10,10,120,120
20,1.2,1.5,1.5,1.5,2.2,1.0,1.1,1.7,1.3,1.0,47,120,47,10,47,120,10,10,120,120
21,1.2,1.4,1.7,1.5,2.3,0.8,1.2,1.7,1.1,1.0,47,120,47,10,47,120,20,10,120,120
22,1.1,1.5,1.8,1.3,2.1,0.9,1.1,1.9,1.1,1.1,47,120,47,10,47,120,20,10,120,120
23,1.0,1.5,1.7,1.3,2.3,0.8,1.2,1.7,1.2,0.9,47,120,47,10,47,120,10,10,120,120
24,1.1,1.3,1.6,1.3,2.2,0.8,1.3,1.9,1.3,1.1,47,120,47,10,47,120,10,10,120,120
25,1.1,1.3,1.6,1.5,2.2,0.8,1.1,1.5,1.1,0.9,47,240,47,10,47,240,20,10,120,120
26,1.2,1.2,1.4,1.5,2.1,0.8,1.2,1.7,1.3,1.0,47,360,47,10,47,360,10,10,120,120
27,1.1,1.4,1.4,1.3,2.1,0.8,1.1,1.6,1.1,1.1,47,360,47,10,47,360,10,10,120,120
28,1.2,1.3,1.5,1.4,2.0,0.8,1.0,1.4,1.2,0.9,47,120,47,10,47,120,10,10,120,120
29,1.1,1.2,1.7,1.3,2.1,0.8,1.2,1.7,1.3,1.0,47,91,47,10,47,120,10,10,120,120
30,1.0,1.3,1.5,1.4,2.2,0.9,1.1,1.7,1.3,1.1,47,120,47,10,47,120,10,10,120,120
31,1.2,1.3,1.7,1.5,2.2,0.8,1.2,1.8,1.2,0.9,47,91,47,10,47,120,10,10,120,120
32,1.3,1.4,1.5,1.7,2.2,0.9,1.1,1.7,1.1,1.0,47,120,47,10,47,120,20,10,120,120
33,1.1,1.4,1.7,1.3,2.2,0.8,1.1,1.5,1.0,0.9,47,120,47,10,47,120,91,10,120,120
34,1.2,1.3,1.5,1.4,2.2,0.9,1.2,1.6,1.2,0.8,47,120,47,10,47,120,10,10,120,120
35,1.1,1.4,1.5,1.3,2.3,0.9,1.1,1.7,1.2,1.0,47,120,47,10,47,120,10,10,120,120
36,1.2,1.4,1.8,1.5,2.0,0.9,1.0,1.8,1.0,0.9,47,91,47,10,47,120,91,10,120,120
37,1.1,1.1,1.5,1.3,2.1,0.9,1.1,1.6,1.1,1.0,47,120,47,10,47,120,10,10,120,120
38,1.0,1.4,1.6,1.2,2.2,0.8,1.2,1.8,1.1,1.0,47,120,47,10,47,120,10,10,120,120
39,1.2,1.3,1.8,1.5,2.3,0.8,1.3,1.8,1.1,1.0,47,120,47,10,47,120,10,10,120,120
40,1.2,1.4,1.6,1.4,2.4,0.9,1.2,1.8,1.2,1.0,47,120,47,10,47,120,10,10,120,120
41,1.1,1.3,1.8,1.3,2.3,0.9,1.1,1.8,1.2,1.0,47,120,47,10,47,120,10,10,120,120
42,1.2,1.5,1.8,1.3,2.3,0.9,1.2,1.8,1.2,0.9,47,120,47,10,47,120,10,10,120,120
43,1.2,1.5,1.5,1.7,2.0,1.0,1.0,1.4,1.0,0.9,47,120,47,10,47,120,10,10,120,120
44,1.1,1.3,1.5,1.3,2.0,0.8,1.3,1.8,1.2,0.9,47,120,47,10,47,120,10,10,120,120
45,1.0,1.5,1.6,1.4,2.1,1.0,1.2,1.6,1.0,1.0,47,120,47,10,47,120,10,10,120,120
46,1.1,1.5,1.5,1.4,2.1,0.8,1.0,1.5,1.0,0.9,47,120,47,10,47,120,91,10,120,120
47,1.1,1.3,1.8,1.4,2.2,0.8,1.3,1.6,1.1,0.9,47,120,47,10,47,120,10,10,120,120
48,1.1,1.4,1.8,1.4,2.2,0.8,1.1,1.7,1.1,1.0,47,120,47,10,47,120,10,10,120,120
49,1.1,1.4,1.4,1.4,2.0,0.9,1.0,1.5,1.0,1.1,47,120,47,10,47,120,91,10,120,120
50,1.2,1.2,1.6,1.3,2.1,0.8,1.1,1.8,1.1,1.1,47,120,47,10,47,120,10,10,120,120
51,1.1,1.3,1.9,1.4,2.3,0.8,1.2,1.7,1.2,1.0,47,120,47,10,47,120,10,10,120,120
52,1.2,1.4,1.7,1.5,2.1,0.8,1.0,1.5,1.0,1.0,47,120,47,10,47,120,91,10,120,120
53,1.0,1.2,1.6,1.5,2.3,0.8,1.1,1.6,1.0,0.9,47,120,47,10,47,120,10,10,120,120
54,1.2,1.4,1.6,1.5,2.3,0.8,1.1,1.4,1.1,0.9,47,120,47,10,47,120,10,10,120,120
55,1.3,1.6,1.5,1.4,2.3,1.0,1.1,1.7,1.0,0.9,47,120,47,10,47,120,9,120,120,120
56,1.2,1.3,1.6,1.4,2.2,0.9,1.0,1.7,1.0,1.0,47,120,47,10,47,120,10,10,120,120
57,1.2,1.5,1.7,1.4,2.1,0.9,1.0,1.4,1.0,1.0,47,120,47,10,47,120,120,10,120,120
58,1.3,1.4,1.6,1.4,2.1,0.9,1.1,1.6,1.0,0.9,47,120,47,10,47,120,10,10,120,120
59,1.0,1.4,1.7,1.4,2.1,0.9,1.0,1.6,1.1,1.1,47,120,47,10,47,120,10,10,120,120
60,1.1,1.4,1.7,1.4,2.2,0.8,1.3,1.7,1.1,0.9,47,120,47,10,47,120,10,10,120,120
61,1.1,1.4,1.4,1.3,2.2,0.9,1.1,1.8,1.2,1.0,47,120,120,10,47,120,10,10,120,120
62,0.9,1.1,1.5,1.3,2.2,0.9,1.3,1.7,1.1,1.1,47,120,47,47,47,120,11,120,120,120
63,0.9,1.2,1.5,1.1,2.2,0.9,1.1,1.4,1.1,0.9,47,120,47,47,47,120,12,120,120,120
64,1.0,1.1,1.4,1.1,2.5,1.0,1.1,1.5,1.0,1.0,47,120,47,47,47,120,12,120,120,120
65,1.0,1.2,1.6,1.1,2.1,0.8,1.1,1.5,1.0,0.9,47,120,47,47,47,120,12,120,120,120
66,1.0,1.1,1.4,1.1,2.2,0.9,1.0,1.5,1.0,0.9,47,120,47,47,47,120,12,120,120,120
67,0.9,1.1,1.2,1.1,2.1,0.8,1.1,1.2,1.0,0.9,47,120,47,47,47,120,12,120,120,120
68,1.0,1.2,1.5,1.1,2.2,0.8,1.2,1.4,1.2,0.9,47,120,47,47,47,120,12,120,120,120
69,1.1,1.2,1.3,1.1,2.2,0.7,1.2,1.4,1.0,0.9,47,120,47,47,47,120,12,120,120,120
70,1.0,1.1,1.3,1.2,2.1,0.8,1.3,1.4,1.2,1.0,47,120,47,47,47,120,12,120,120,120
71,1.0,1.0,1.3,1.1,2.0,0.8,1.1,1.3,1.2,1.0,47,120,47,47,47,120,12,120,120,120
72,1.0,1.3,1.3,1.2,1.9,0.8,1.2,1.4,1.1,1.0,47,120,47,47,47,120,12,120,120,120
73,1.0,1.0,1.5,1.2,2.1,0.9,1.3,1.5,1.1,1.0,47,120,47,47,47,120,12,120,120,120
74,1.1,1.1,1.5,1.3,2.2,0.9,1.2,1.5,1.1,1.1,47,120,47,47,47,120,12,120,120,120
75,1.0,1.2,1.3,1.3,2.2,0.8,1.3,1.4,1.2,0.9,47,120,47,47,47,120,12,120,120,120
76,1.0,1.3,1.4,1.0,2.1,0.9,1.3,1.7,1.2,0.9,47,120,120,47,47,120,12,120,120,120
77,0.9,1.3,1.4,1.2,2.0,0.8,1.3,1.5,1.2,0.9,47,120,120,47,47,120,12,120,120,120
78,1.0,1.1,1.6,1.0,2.1,0.9,1.2,1.5,1.2,0.9,47,120,120,47,47,120,12,120,120,120
79,1.0,1.3,1.4,1.3,2.3,0.8,1.2,1.5,1.1,1.0,47,120,120,47,47,120,12,120,120,120
80,0.9,1.1,1.5,1.3,2.0,1.0,1.3,1.5,1.1,0.9,47,120,120,47,47,120,12,120,120,120
81,1.0,1.3,1.7,1.1,2.1,0.9,1.2,1.6,1.1,1.0,47,120,47,47,47,120,12,120,120,120
82,1.0,1.2,1.5,1.1,2.0,0.9,1.2,1.5,1.1,1.0,47,120,47,47,47,120,109,120,120,120
83,1.1,1.2,1.5,1.3,2.2,0.8,1.2,1.6,1.3,1.1,47,120,47,47,47,120,109,120,120,120
84,1.1,1.3,1.5,1.2,2.4,1.0,1.2,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
85,1.0,1.2,1.5,1.3,2.1,0.9,1.1,1.7,1.2,0.9,47,120,47,47,47,120,12,120,120,120
86,1.1,1.2,1.4,1.3,2.0,0.9,1.3,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
87,1.0,1.1,1.4,1.1,1.9,0.9,1.2,1.4,1.2,1.1,47,120,47,47,47,120,12,120,120,120
88,1.0,1.2,1.3,1.3,2.2,0.8,1.1,1.5,1.2,1.0,47,120,47,47,47,120,109,120,120,120
89,1.1,1.2,1.5,1.3,2.1,0.8,1.1,1.3,1.1,0.9,47,120,47,47,47,120,109,120,120,120
90,1.1,1.1,1.3,1.2,2.4,0.8,1.1,1.5,1.3,0.9,47,120,47,47,47,120,109,120,120,120
91,1.1,1.0,1.5,1.3,2.0,0.8,1.1,1.4,1.1,1.0,47,120,47,47,47,120,12,120,120,120
92,1.0,1.2,1.5,1.2,2.1,0.8,1.1,1.5,1.3,1.0,47,120,47,47,47,120,12,120,120,120
93,1.0,1.0,1.4,1.4,2.1,0.7,1.1,1.5,1.2,0.9,47,360,47,47,47,360,109,120,120,120
94,1.0,1.2,1.3,1.3,2.2,0.9,1.4,1.4,1.2,1.0,47,120,47,47,47,120,109,120,120,120
95,1.1,1.3,1.6,1.3,2.3,0.8,1.1,1.4,1.3,1.0,47,120,47,47,47,120,12,120,120,120
96,1.0,1.2,1.7,1.4,1.9,0.8,1.2,1.4,1.1,1.0,47,120,47,47,47,120,109,120,120,120
97,1.0,1.3,1.5,1.1,2.4,0.9,1.2,1.8,1.2,1.0,47,120,47,47,47,120,12,120,120,120
98,1.1,1.2,1.3,1.2,2.2,0.9,1.2,1.5,1.3,0.9,47,120,120,47,47,120,109,120,120,120
99,1.0,1.2,1.4,1.4,2.2,0.8,1.3,1.6,1.2,1.0,47,120,47,47,47,120,109,120,120,120
100,1.0,1.2,1.5,1.3,2.0,0.8,1.3,1.5,1.2,1.1,47,120,47,47,47,120,12,120,120,120
101,1.1,1.1,1.6,1.4,2.3,1.0,1.3,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
102,1.0,1.3,1.3,1.2,2.0,0.9,1.4,1.6,1.1,0.9,47,120,47,47,47,120,109,120,120,120
103,1.1,1.1,1.5,1.2,2.2,0.9,1.3,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
104,1.0,1.3,1.5,1.2,2.2,0.9,1.3,1.7,1.3,1.0,47,360,47,47,47,360,109,360,120,120
105,1.0,1.1,1.4,1.3,2.3,0.9,1.2,1.6,1.3,1.1,47,120,47,47,47,360,109,120,120,120
106,1.1,1.2,1.5,1.2,2.4,0.8,1.3,1.7,1.3,0.9,47,120,47,47,47,120,109,120,120,120
107,0.9,1.4,1.5,1.2,2.1,0.8,1.3,1.6,1.2,1.0,47,120,47,47,47,120,109,120,120,120
