Micom IDU1 Data,Time Interval = 2 sec,Save Start Time:,"Friday, December 04 18:51:44, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V H/P,Multi V 5,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점1,Version:,"0.0.0",LGMV:,8.2.9U,External:,"0"
Installer:,설치자1,EEPROM:,"0.0.0",COMP:,"12.12",FAN:,"2.2"
Model:,모델1,IDU NUM:,10,Connect:,ODU
Site:,현장1,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,습도1,H/L1,,,,,용량2,모드2,풍량2,EEV2,공기2,배관in2,배관out2,SC/SH2,추가정보2,통신2,CEN2,에러2,습도2,H/L2,,,,,용량3,모드3,풍량3,EEV3,공기3,배관in3,배관out3,SC/SH3,추가정보3,통신3,CEN3,에러3,습도3,H/L3,,,,,용량4,모드4,풍량4,EEV4,공기4,배관in4,배관out4,SC/SH4,추가정보4,통신4,CEN4,에러4,습도4,H/L4,,,,,용량5,모드5,풍량5,EEV5,공기5,배관in5,배관out5,SC/SH5,추가정보5,통신5,CEN5,에러5,습도5,H/L5,,,,,용량6,모드6,풍량6,EEV6,공기6,배관in6,배관out6,SC/SH6,추가정보6,통신6,CEN6,에러6,습도6,H/L6,,,,,용량7,모드7,풍량7,EEV7,공기7,배관in7,배관out7,SC/SH7,추가정보7,통신7,CEN7,에러7,습도7,H/L7,,,,,용량8,모드8,풍량8,EEV8,공기8,배관in8,배관out8,SC/SH8,추가정보8,통신8,CEN8,에러8,습도8,H/L8,,,,
1,18:51:44,2,,,24,2,1,80,25.13,54.55,50.71,-4.15,,201,f1,0,0,0,,,,,24,0,0,90,24.11,49.52,50.71,0.88,,251,e0,0,0,0,,,,,24,0,0,90,24.79,49.52,51.32,0.88,,240,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-4.83,,198,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.52,,222,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.31,,153,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,50.11,18.35,,168,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.47,,217,1a,0,0,0,,,,
2,18:51:46,2,,,24,2,1,80,25.13,54.55,50.71,-4.25,,202,f1,0,0,0,,,,,24,0,0,90,24.11,49.52,50.71,0.88,,252,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,51.32,0.88,,240,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-4.83,,198,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.52,,222,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.31,,153,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,50.11,18.35,,168,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.47,,217,1a,0,0,0,,,,
3,18:51:48,2,,,24,2,1,80,25.13,54.55,50.71,-4.25,,202,f1,0,0,0,,,,,24,0,0,90,24.11,49.52,50.71,0.78,,252,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,51.32,0.78,,241,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-4.93,,199,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.42,,223,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.41,,154,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,50.11,18.25,,169,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.37,,218,1a,0,0,0,,,,
4,18:51:50,2,,,24,2,1,80,25.13,54.55,50.71,-4.25,,203,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.78,,252,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.78,,241,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-4.93,,199,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.42,,223,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.41,,154,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,50.11,18.25,,169,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.37,,218,1a,0,0,0,,,,
5,18:51:52,2,,,24,2,1,80,25.13,54.55,50.71,-4.35,,203,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.68,,253,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.68,,242,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.03,,200,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.32,,224,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.51,,155,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,49.52,18.15,,170,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.27,,219,1a,0,0,0,,,,
6,18:51:54,2,,,24,2,1,80,25.13,54.55,50.71,-4.35,,203,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.68,,253,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.68,,242,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.03,,200,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.32,,224,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.51,,155,0,0,0,0,,,,,12,6,3,1350,24.11,32.05,49.52,18.15,,170,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.27,,219,1a,0,0,0,,,,
7,18:51:56,2,,,24,2,1,80,25.13,54.55,50.71,-4.35,,204,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.68,,254,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.68,,243,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.03,,201,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.32,,225,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.51,,156,0,0,0,0,,,,,12,6,3,1350,24.11,32.44,49.52,17.76,,171,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.27,,219,1a,0,0,0,,,,
8,18:51:58,2,,,24,2,1,80,25.13,54.55,50.71,-4.35,,204,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.68,,254,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.68,,243,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.03,,201,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.32,,225,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.51,,156,0,0,0,0,,,,,12,6,3,1350,24.11,32.44,49.52,17.76,,171,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.27,,220,1a,0,0,0,,,,
9,18:52:00,2,,,24,2,1,80,25.13,54.55,50.71,-4.45,,205,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.58,,255,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.58,,244,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.13,,202,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.22,,226,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.61,,157,0,0,0,0,,,,,12,6,3,1350,24.11,32.44,49.52,17.66,,172,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.17,,220,1a,0,0,0,,,,
10,18:52:02,2,,,24,2,1,80,25.13,54.55,50.71,-4.45,,205,f1,0,0,0,,,,,24,0,0,80,24.11,49.52,50.71,0.58,,255,e0,0,0,0,,,,,24,0,0,80,24.79,49.52,50.71,0.58,,244,e1,0,0,0,,,,,24,2,1,80,24.11,55.23,50.71,-5.13,,202,f0,0,0,0,,,,,28,6,1,1350,25.13,34.88,50.11,15.22,,226,0,0,0,0,,,,,8,0,0,80,24.11,50.71,51.32,-0.61,,157,0,0,0,0,,,,,12,6,3,1350,24.11,32.44,49.52,17.66,,172,3,0,0,0,,,,,28,0,0,90,24.11,48.93,50.71,1.17,,221,1a,0,0,0,,,,
