Micom IDU2 Data,Time Interval = 2 sec,Save Start Time:,"Friday, December 04 18:51:44, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V H/P,Multi V 5,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점1,Version:,"0.0.0",LGMV:,8.2.9U,External:,"0"
Installer:,설치자1,EEPROM:,"0.0.0",COMP:,"12.12",FAN:,"2.2"
Model:,모델1,IDU NUM:,10,Connect:,ODU
Site:,현장1,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량9,모드9,풍량9,EEV9,공기9,배관in9,배관out9,SC/SH9,추가정보9,통신9,CEN9,에러9,습도9,H/L9,,,,,용량10,모드10,풍량10,EEV10,공기10,배관in10,배관out10,SC/SH10,추가정보10,통신10,CEN10,에러10,습도10,H/L10,,,,
1,18:51:44,2,,,18,6,1,1350,17.49,22.13,19.73,28.27,,158,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.07,28.27,,151,0,0,0,0,,,,
2,18:51:46,2,,,18,6,1,1350,17.49,22.13,19.73,28.27,,158,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.07,28.27,,151,0,0,0,0,,,,
3,18:51:48,2,,,18,6,1,1350,17.49,22.13,20.07,28.17,,159,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.07,28.17,,151,0,0,0,0,,,,
4,18:51:50,2,,,18,6,1,1350,17.49,22.13,20.07,28.17,,159,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.07,28.17,,152,0,0,0,0,,,,
5,18:51:52,2,,,18,6,1,1350,17.49,22.13,20.41,28.07,,159,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.41,28.07,,152,0,0,0,0,,,,
6,18:51:54,2,,,18,6,1,1350,17.49,22.13,20.41,28.07,,160,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.41,28.07,,153,0,0,0,0,,,,
7,18:51:56,2,,,18,6,1,1350,17.49,22.13,20.41,28.07,,160,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.41,28.07,,153,0,0,0,0,,,,
8,18:51:58,2,,,18,6,1,1350,17.49,22.13,20.41,28.07,,161,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.41,28.07,,154,0,0,0,0,,,,
9,18:52:00,2,,,18,6,1,1350,17.49,22.13,20.41,27.97,,161,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.41,27.97,,154,0,0,0,0,,,,
10,18:52:02,2,,,18,6,1,1350,17.49,22.13,20.41,27.97,,162,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.97,,155,0,0,0,0,,,,
11,18:52:04,2,,,18,6,1,1350,17.49,22.13,20.41,27.97,,162,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.97,,155,0,0,0,0,,,,
12,18:52:06,2,,,18,6,1,1350,17.49,22.13,20.41,27.97,,163,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.97,,155,0,0,0,0,,,,
13,18:52:08,2,,,18,6,1,1350,17.49,22.13,20.41,27.87,,163,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.87,,156,0,0,0,0,,,,
14,18:52:10,2,,,18,6,1,1350,17.49,22.13,20.41,27.87,,163,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.87,,156,0,0,0,0,,,,
15,18:52:12,2,,,18,6,1,1350,17.49,22.13,20.41,27.87,,164,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.87,,157,0,0,0,0,,,,
16,18:52:14,2,,,18,6,1,1350,17.49,22.13,20.75,27.75,,164,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.75,,157,0,0,0,0,,,,
17,18:52:16,2,,,18,6,1,1350,17.49,22.13,20.75,27.75,,165,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.75,,158,0,0,0,0,,,,
18,18:52:18,2,,,18,6,1,1350,17.49,22.13,20.75,27.75,,165,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.75,,158,0,0,0,0,,,,
19,18:52:20,2,,,18,6,1,1350,17.49,22.13,20.75,27.75,,166,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.75,,159,0,0,0,0,,,,
20,18:52:22,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,166,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.62,,159,0,0,0,0,,,,
21,18:52:24,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,167,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.62,,159,0,0,0,0,,,,
22,18:52:26,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,167,0,0,0,0,,,,,28,6,1,1350,17.16,22.13,20.75,27.62,,160,0,0,0,0,,,,
23,18:52:28,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,168,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.62,,160,0,0,0,0,,,,
24,18:52:30,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,168,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.62,,161,0,0,0,0,,,,
25,18:52:32,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,168,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.62,,161,0,0,0,0,,,,
26,18:52:34,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,169,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.62,,162,0,0,0,0,,,,
27,18:52:36,2,,,18,6,1,1350,17.49,22.13,20.75,27.62,,169,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.62,,162,0,0,0,0,,,,
28,18:52:38,2,,,18,6,1,1350,17.49,22.13,20.75,27.75,,170,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.75,,163,0,0,0,0,,,,
29,18:52:40,2,,,18,6,1,1350,17.49,22.13,20.75,27.87,,170,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.75,,163,0,0,0,0,,,,
30,18:52:42,2,,,18,6,1,1350,17.49,22.13,20.75,27.87,,171,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.87,,164,0,0,0,0,,,,
31,18:52:44,2,,,18,6,1,1350,17.49,22.13,20.75,27.97,,171,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.75,27.97,,164,0,0,0,0,,,,
32,18:52:46,2,,,18,6,1,1350,17.49,22.13,20.41,28.17,,172,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.41,28.17,,164,0,0,0,0,,,,
33,18:52:48,2,,,18,6,1,1350,17.49,22.13,20.41,28.27,,172,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.41,28.27,,165,0,0,0,0,,,,
34,18:52:50,2,,,18,6,1,1350,17.49,22.13,20.41,28.52,,172,0,0,0,0,,,,,28,6,1,1350,16.84,22.13,20.41,28.52,,165,0,0,0,0,,,,
