Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Friday, December 04 18:51:44, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V H/P,Multi V 5,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점1,Version:,"0.0.0",LGMV:,8.2.9U,External:,"0"
Installer:,설치자1,EEPROM:,"0.0.0",COMP:,"12.12",FAN:,"2.2"
Model:,모델1,IDU NUM:,10,Connect:,ODU
Site:,현장1,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,목표과열,목표과냉과열,현재고압,현재저압,현재과열,현재과냉과열,가중평균실내온도,압축비,현재과냉,,ACCUM.,4WAY,HEX V/V,균유 V/V,리시버 IN,리시버 OUT,흡입 V/V,오일센서,오일센서2,,열교환기상부,열교환기하부,INV1 예열,INV2 예열,오일제어1,오일제어2,Dry Contact,적설,,,INV 목표/현재,INV 목표/현재,INV2 목표/현재,INV2 목표/현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,,Main EEV,Sub EEV,과냉각기EEV,TVI EEV,VI EEV1,VI EEV2,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,INV2 토출온도,열교환기온도,상부열교환기,하부열교환기,과냉입구온도,과냉출구온도,액관온도,TVI 입구온도,TVI 출구온도,INV IPM온도,INV2 IPM온도,Fan Heatsink,Fan2 Heatsink,습도,소음레벨,
1,18:51:44,2,,,2990,1000,7.0,15.0,2990,712,7.4,6.2,27.50,3.80,5.3,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.1,50.4,0.7,60.0,7.0,-0.2,220.0,220.0,12.3,6.9,45.1,220.0,220.0,59,39,15,15,22,0,
2,18:51:46,2,,,2990,1000,7.0,15.0,2982,718,7.2,6.0,27.50,3.76,5.2,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.1,50.3,0.9,60.0,7.0,0.1,220.0,220.0,12.3,6.9,45.1,220.0,220.0,59,39,15,15,22,0,
3,18:51:48,2,,,2990,1000,7.0,15.0,2982,721,7.0,5.8,27.50,3.75,5.7,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.1,50.3,1.1,60.0,7.0,0.1,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
4,18:51:50,2,,,2990,1000,7.0,15.0,2982,725,7.0,5.7,27.50,3.73,5.7,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.3,1.2,60.0,7.0,0.5,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
5,18:51:52,2,,,2990,1000,7.0,15.0,2974,725,7.0,5.7,27.50,3.72,5.6,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.2,1.2,60.0,7.0,0.5,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
6,18:51:54,2,,,2990,1000,7.0,15.0,2974,732,6.7,5.5,27.50,3.69,5.6,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.8,8.2,50.2,1.5,60.0,7.0,0.5,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
7,18:51:56,2,,,2990,1000,7.0,15.0,2974,732,6.7,5.5,27.50,3.69,5.6,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.8,8.2,50.2,1.5,60.0,7.0,0.5,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
8,18:51:58,2,,,2990,1000,7.0,15.0,2966,735,6.6,5.3,27.50,3.67,5.5,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.8,8.2,50.1,1.6,61.0,7.0,0.9,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
9,18:52:00,2,,,2990,1000,7.0,15.0,2966,739,6.5,5.2,27.50,3.65,5.5,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.1,1.7,61.0,7.0,0.9,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
10,18:52:02,2,,,2990,1000,7.0,15.0,2966,739,6.5,5.2,27.50,3.65,5.5,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.1,1.7,61.0,7.0,0.9,220.0,220.0,12.3,6.9,44.6,220.0,220.0,59,39,15,15,22,0,
11,18:52:04,2,,,2990,1000,7.0,15.0,2966,742,6.4,5.1,27.80,3.64,6.0,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.1,1.8,61.0,7.0,0.9,220.0,220.0,12.3,6.9,44.1,220.0,220.0,59,39,15,15,22,0,
12,18:52:06,2,,,2990,1000,7.0,15.0,2966,742,6.4,5.1,27.80,3.64,6.0,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.1,1.8,61.0,7.0,1.2,220.0,220.0,12.3,6.9,44.1,220.0,220.0,59,39,15,15,22,0,
13,18:52:08,2,,,2990,1000,7.0,15.0,2958,745,6.2,5.0,27.80,3.61,5.9,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,223,0,10,0,8,8,,8.9,8.2,50.0,2.0,61.0,7.0,1.2,220.0,220.0,12.3,6.9,44.1,220.0,220.0,59,39,15,15,22,0,
14,18:52:10,2,,,2990,1000,7.0,15.0,2958,745,6.2,5.0,27.80,3.61,5.9,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,221,0,10,0,8,8,,8.9,8.2,50.0,2.0,61.0,7.0,1.2,220.0,220.0,12.3,6.9,44.1,220.0,220.0,59,39,15,15,22,0,
15,18:52:12,2,,,2990,1000,7.0,15.0,2958,748,6.1,4.8,27.80,3.60,5.9,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,221,0,10,0,8,8,,8.8,8.2,50.0,2.1,61.0,7.0,1.2,220.0,220.0,12.3,6.9,44.1,220.0,220.0,59,39,15,15,22,0,
16,18:52:14,2,,,2990,1000,7.0,15.0,2949,748,6.1,4.8,27.80,3.59,5.8,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,221,0,10,0,8,8,,8.8,8.2,49.9,2.1,61.0,7.0,1.6,220.0,220.0,12.3,6.9,44.1,220.0,220.0,58,39,15,15,22,0,
17,18:52:16,2,,,2990,1000,7.0,15.0,2949,748,6.1,4.8,27.80,3.59,5.8,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,219,0,10,0,8,8,,8.8,8.2,49.9,2.1,61.0,7.0,1.6,220.0,220.0,12.3,6.9,44.1,220.0,220.0,58,39,15,15,22,0,
18,18:52:18,2,,,2990,1000,7.0,15.0,2949,752,6.0,4.7,27.80,3.57,5.8,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,219,0,10,0,8,8,,8.8,8.2,49.9,2.2,61.0,7.0,1.6,220.0,220.0,12.3,6.9,44.1,220.0,220.0,58,39,15,15,22,0,
19,18:52:20,2,,,2990,1000,7.0,15.0,2949,752,6.0,4.7,27.80,3.57,5.8,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,217,0,10,0,8,8,,8.8,8.2,49.9,2.2,61.0,7.0,1.6,220.0,220.0,12.3,6.9,44.1,220.0,220.0,58,39,15,15,22,0,
20,18:52:22,2,,,2990,1000,7.0,15.0,2941,755,5.9,4.6,27.80,3.55,5.7,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,217,0,10,0,8,8,,8.8,8.2,49.8,2.3,61.0,7.0,1.6,220.0,220.0,12.3,6.9,44.1,220.0,220.0,58,39,15,15,22,0,
21,18:52:24,2,,,2990,1000,7.0,15.0,2949,758,5.7,4.5,27.80,3.55,6.4,,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,215,0,10,0,8,8,,8.8,8.2,49.9,2.5,61.0,7.0,2.0,220.0,220.0,12.3,6.9,43.5,220.0,220.0,58,39,15,15,22,0,
22,18:52:26,2,,,2990,1000,7.0,15.0,2941,758,5.8,4.5,27.80,3.54,6.3,,1,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,,,17,17.0,0,0.0,1000,1000,1000,1000,,215,0,10,0,8,8,,8.7,8.3,49.8,2.5,61.0,7.0,2.0,220.0,220.0,12.7,6.9,43.5,220.0,220.0,58,39,15,15,22,0,
