Micom IDU1 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,TGT1,TGT21,,,,,용량2,모드2,풍량2,EEV2,공기2,배관in2,배관out2,SC/SH2,추가정보2,통신2,CEN2,에러2,TGT2,TGT22,,,,,용량3,모드3,풍량3,EEV3,공기3,배관in3,배관out3,SC/SH3,추가정보3,통신3,CEN3,에러3,TGT3,TGT23,,,,,용량4,모드4,풍량4,EEV4,공기4,배관in4,배관out4,SC/SH4,추가정보4,통신4,CEN4,에러4,TGT4,TGT24,,,,,용량5,모드5,풍량5,EEV5,공기5,배관in5,배관out5,SC/SH5,추가정보5,통신5,CEN5,에러5,TGT5,TGT25,,,,,용량6,모드6,풍량6,EEV6,공기6,배관in6,배관out6,SC/SH6,추가정보6,통신6,CEN6,에러6,TGT6,TGT26,,,,,용량7,모드7,풍량7,EEV7,공기7,배관in7,배관out7,SC/SH7,추가정보7,통신7,CEN7,에러7,TGT7,TGT27,,,,,용량8,모드8,풍량8,EEV8,공기8,배관in8,배관out8,SC/SH8,추가정보8,통신8,CEN8,에러8,TGT8,TGT28,,,,
1,13:55:51,1,,,7,0,0,40,26.52,24.94,25.30,0.36,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
2,13:55:53,1,,,7,0,0,40,26.52,24.94,25.30,0.36,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
3,13:55:55,1,,,7,0,0,40,26.52,24.59,24.94,0.35,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
4,13:55:57,1,,,7,0,0,40,26.52,24.59,24.94,0.35,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
5,13:55:59,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
6,13:56:01,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.00,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.00,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
7,13:56:03,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.00,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.00,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
8,13:56:05,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.00,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.00,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.24,12.34,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
9,13:56:07,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.58,12.68,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
10,13:56:09,1,,,7,0,0,40,26.52,24.94,24.94,0.00,,0,03,0,0,3,,,,,28,0,0,40,26.17,24.94,25.30,0.36,,0,00,0,0,2,,,,,7,0,0,40,25.13,23.88,24.59,0.71,,0,01,0,0,3,,,,,7,0,0,40,29.36,25.66,25.30,-0.36,,0,05,0,0,2,,,,,7,0,0,40,29.36,24.94,24.94,0.00,,0,04,0,0,3,,,,,7,0,0,40,27.93,26.38,26.38,0.00,,0,07,0,0,3,,,,,12,5,1,590,27.57,6.58,12.68,6.10,,0,08,0,0,2,,,,,7,0,0,40,24.79,23.88,24.23,0.35,,0,02,0,0,3,,,,
