Micom IDU2 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량9,모드9,풍량9,EEV9,공기9,배관in9,배관out9,SC/SH9,추가정보9,통신9,CEN9,에러9,TGT9,TGT29,,,,,용량10,모드10,풍량10,EEV10,공기10,배관in10,배관out10,SC/SH10,추가정보10,통신10,CEN10,에러10,TGT10,TGT210,,,,
1,13:55:51,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
2,13:55:53,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
3,13:55:55,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
4,13:55:57,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
5,13:55:59,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
6,13:56:01,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
7,13:56:03,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
8,13:56:05,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
9,13:56:07,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
10,13:56:09,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
11,13:56:11,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
12,13:56:13,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
13,13:56:15,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
14,13:56:17,1,,,12,0,0,40,33.50,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
15,13:56:19,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
16,13:56:21,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
17,13:56:23,1,,,12,0,0,40,33.11,30.49,30.49,0.00,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
18,13:56:25,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
19,13:56:27,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
20,13:56:29,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
21,13:56:32,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
22,13:56:34,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
23,13:56:36,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
24,13:56:38,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
