Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,목표과열,목표과냉과열,현재고압,현재저압,현재과열,현재과냉과열,가중평균실내온도,압축비,현재과냉,,4WAY,HOT GAS,예열운전1,Base Pan 히터,흡입 V/V,,,,,,,,,,,,,,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,과냉각기EEV,VI EEV1,,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,과냉입구온도,과냉출구온도,액관온도,INV IPM온도,INV토출과열도,습도,,,,,,,,,
1,13:55:51,1,,,2663,961,0.0,15.0,2696,739,2.0,35.3,6.20,3.33,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,30.8,3.7,46.1,1.7,65.0,13.0,-100.0,37.0,40.2,93,18.9,0,,,,,,,,,
2,13:55:53,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
3,13:55:55,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
4,13:55:57,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
5,13:55:59,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
6,13:56:01,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
7,13:56:03,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
8,13:56:05,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,66.0,13.0,-100.0,37.0,40.2,93,19.9,0,,,,,,,,,
9,13:56:07,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,66.0,13.0,-100.0,37.0,40.2,93,19.9,0,,,,,,,,,
10,13:56:09,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.0,46.1,2.2,66.0,12.7,-100.0,36.6,40.6,93,19.9,0,,,,,,,,,
