Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Friday, November 20 08:33:43, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.1.0R,External:,"-"
Installer:,설치자명,EEPROM:,"29.177(1d.b1)",COMP:,"-",FAN:,"-"
Model:,M3,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,,,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,,,,,,,,,,,,
1,08:33:43,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
2,08:33:45,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
3,08:33:47,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
4,08:33:49,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
5,08:33:51,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
6,08:33:53,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
7,08:33:55,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
8,08:33:57,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
9,08:33:59,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
10,08:34:01,0,,,2256,950,0,,439,441,0,,1.00,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,-12.8,-9.9,-11.6,-13.1,49.0,-11.8,-6.3,-8.00,60.6,,,,,,,,,,,,
