Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, November 19 14:57:00, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,전문점명,Version:,"-",LGMV:,8.1.0R,External:,"-"
Installer:,설치자명,EEPROM:,"29.177(1d.b1)",COMP:,"-",FAN:,"-"
Model:,M3,IDU NUM:,1,Connect:,ODU
Site:,현장명,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,,,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,,,,,,,,,,,,
1,14:57:00,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,43.0,7.6,8.0,16.00,34.7,,,,,,,,,,,,
2,14:57:02,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,43.0,7.6,8.0,16.00,34.7,,,,,,,,,,,,
3,14:57:04,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,43.0,7.6,8.0,16.00,34.7,,,,,,,,,,,,
4,14:57:06,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,43.0,7.6,8.0,16.00,34.7,,,,,,,,,,,,
5,14:57:08,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
6,14:57:10,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
7,14:57:12,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
8,14:57:14,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
9,14:57:16,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
10,14:57:18,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
11,14:57:20,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
12,14:57:22,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
13,14:57:24,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
14,14:57:26,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
15,14:57:28,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
16,14:57:30,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
17,14:57:32,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
18,14:57:34,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
19,14:57:36,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
20,14:57:38,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
21,14:57:40,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,42.0,7.6,8.0,16.00,33.7,,,,,,,,,,,,
22,14:57:42,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
23,14:57:44,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
24,14:57:46,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
25,14:57:48,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
26,14:57:50,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
27,14:57:52,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
28,14:57:54,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.7,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
29,14:57:56,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
30,14:57:58,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
31,14:58:00,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
32,14:58:02,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
33,14:58:04,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
34,14:58:06,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
35,14:58:08,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
36,14:58:10,0,,,0,0,0,,906,931,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,16.00,32.7,,,,,,,,,,,,
37,14:58:12,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
38,14:58:14,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,8.5,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
39,14:58:16,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
40,14:58:18,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
41,14:58:20,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
42,14:58:22,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
43,14:58:24,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
44,14:58:26,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
45,14:58:28,0,,,0,0,0,,906,923,0,,0.98,-12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,8.4,12.3,8.3,7.2,41.0,7.6,8.0,15.00,32.7,,,,,,,,,,,,
