Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Monday, October 05 17:04:28, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,TUQ0600B2S,Version:,"-",LGMV:,8.3.5R,External:,"-"
Installer:,설치자,EEPROM:,"8.167(8.a7)",COMP:,"-",FAN:,"-"
Model:,TUQ0600B2S,IDU NUM:,1,Connect:,ODU
Site:,표준,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Sub EEV,VI EEV1,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,IHEX 입구,IHEX 출구,,,,,,,,,,
1,17:04:28,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
2,17:04:30,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
3,17:04:32,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
4,17:04:34,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
5,17:04:36,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
6,17:04:38,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
7,17:04:40,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
8,17:04:42,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
9,17:04:44,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
10,17:04:46,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
11,17:04:48,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
12,17:04:50,0,,,2598,738,0,,2865,1486,0,,1.87,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,70.00,10.0,220.0,220.0,,,,,,,,,,
13,17:04:52,0,,,2598,738,0,,2865,1486,0,,1.87,9.6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,44.4,220.0,49.0,23.9,59.0,48.4,220.0,52.00,10.0,220.0,220.0,,,,,,,,,,
