CH Name,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
1,0.3,0.6,0.4,0.2,0.4,0.3,0.3,0.3,0.4,0.6,120,120,120,10,120,120,120,120,120,120
2,0.3,0.6,0.4,0.2,0.4,0.3,0.4,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
3,0.3,0.5,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.6,120,120,120,9,120,120,120,120,120,120
4,0.3,0.5,0.4,0.2,0.5,0.3,0.4,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
5,0.3,0.6,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.7,120,120,120,120,120,120,120,120,120,120
6,0.3,0.5,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
7,0.3,0.5,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
8,0.3,0.5,0.4,0.2,0.5,0.4,0.4,0.5,0.4,0.6,120,120,120,6,120,120,120,120,120,120
9,0.3,0.6,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.7,120,120,120,7,120,120,120,120,120,120
10,0.3,0.5,0.5,0.2,0.4,0.4,0.4,0.4,0.4,0.6,120,120,120,7,120,120,120,120,120,120
11,0.3,0.5,0.4,0.2,0.5,0.4,0.3,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
12,0.3,0.6,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
13,0.3,0.5,0.4,0.2,0.4,0.3,0.3,0.3,0.4,0.6,120,120,120,6,120,120,120,120,120,120
14,0.3,0.6,0.5,0.2,0.5,0.3,0.3,0.4,0.4,0.6,120,120,120,7,120,120,120,120,120,120
15,0.3,0.5,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
16,0.3,0.4,0.4,0.2,0.4,0.3,0.3,0.3,0.4,0.6,120,120,120,9,120,120,120,120,120,120
17,0.3,0.6,0.5,0.3,0.4,0.4,0.4,0.3,0.4,0.6,120,120,120,6,120,120,120,120,120,120
18,0.3,0.5,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.6,120,120,120,7,120,120,120,120,120,120
19,0.3,0.5,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.6,120,120,120,6,120,120,120,120,120,120
