Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, October 08 11:08:52, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,PUW1303T9FR,Version:,"-",LGMV:,8.3.5R,External:,"-"
Installer:,설치자,EEPROM:,"0.20(0.14)",COMP:,"-",FAN:,"-"
Model:,PUW1303T9FR,IDU NUM:,1,Connect:,ODU
Site:,장배관,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Sub EEV,VI EEV1,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,IHEX 입구,IHEX 출구,,,,,,,,,,
1,11:08:52,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
2,11:08:54,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
3,11:08:56,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
4,11:08:58,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
5,11:09:00,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
6,11:09:02,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
7,11:09:04,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
8,11:09:06,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
9,11:09:08,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
10,11:09:10,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
11,11:09:12,0,,,0,724,0,,1886,695,0,,2.50,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,31.6,220.0,32.6,0.2,34.0,32.0,220.0,35.00,1.4,220.0,220.0,,,,,,,,,,
