CH Name,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R
CH No.,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31
1,0.3,0.2,0.4,0.2,0.3,0.3,0.5,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
2,0.3,0.3,0.4,0.3,0.3,0.3,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
3,0.3,0.3,0.4,0.2,0.3,0.4,0.6,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
4,0.3,0.3,0.4,0.3,0.3,0.3,0.6,0.9,0.4,0.7,0.3,0.6,120,120,120,120,120,120,120,120,120,120,120,120
5,0.2,0.3,0.4,0.2,0.3,0.3,0.6,0.8,0.3,0.6,0.3,0.4,120,120,120,120,120,120,120,120,120,120,120,120
6,0.3,0.2,0.5,0.3,0.3,0.3,0.6,0.8,0.4,0.5,0.3,0.4,120,120,120,120,120,120,120,120,120,120,120,120
7,0.3,0.3,0.4,0.2,0.3,0.3,0.6,0.8,0.4,0.5,0.2,0.5,120,120,120,120,120,120,120,120,120,120,120,120
8,0.3,0.3,0.4,0.2,0.2,0.4,0.6,0.7,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
9,0.3,0.3,0.4,0.2,0.2,0.3,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
10,0.3,0.3,0.4,0.2,0.2,0.3,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
11,0.2,0.2,0.4,0.2,0.3,0.3,0.6,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
12,0.3,0.3,0.4,0.2,0.3,0.3,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
13,0.2,0.3,0.4,0.2,0.3,0.3,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
14,0.3,0.3,0.4,0.2,0.3,0.3,0.6,0.8,0.4,0.5,0.2,0.5,120,120,120,120,120,120,120,120,120,120,120,120
15,0.3,0.3,0.4,0.2,0.2,0.3,0.5,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
16,0.3,0.3,0.5,0.2,0.3,0.4,0.6,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
17,0.3,0.3,0.5,0.3,0.2,0.3,0.6,0.9,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
18,0.3,0.3,0.5,0.2,0.3,0.4,0.5,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
19,0.3,0.3,0.5,0.2,0.3,0.3,0.5,0.8,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
20,0.3,0.3,0.5,0.2,0.3,0.4,0.6,0.8,0.4,0.6,0.4,0.5,120,120,120,120,120,120,120,120,120,120,120,120
21,0.3,0.3,0.5,0.2,0.3,0.4,0.6,0.8,0.4,0.6,0.3,0.6,120,120,120,120,120,120,120,120,120,120,120,120
22,0.3,0.3,0.5,0.2,0.3,0.3,0.6,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
23,0.3,0.3,0.5,0.2,0.3,0.4,0.6,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
24,0.3,0.4,0.6,0.4,0.3,0.3,0.6,0.8,0.4,0.6,0.4,0.6,120,120,120,120,120,120,120,120,120,120,240,120
25,0.3,0.3,0.4,0.2,0.3,0.4,0.6,0.9,0.4,0.6,0.2,0.5,120,120,60,120,120,120,120,120,120,120,240,120
26,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.8,0.4,0.5,0.3,0.5,120,120,60,120,120,120,120,120,120,120,60,120
27,0.3,0.3,0.4,0.2,0.3,0.4,0.6,0.9,0.4,0.6,0.2,0.6,120,120,60,120,120,120,120,120,120,120,60,120
28,0.3,0.3,0.4,0.3,0.2,0.4,0.6,0.9,0.4,0.5,0.3,0.5,120,120,120,120,120,120,120,120,120,120,60,120
29,0.2,0.3,0.4,0.2,0.3,0.4,0.6,0.8,0.4,0.5,0.2,0.6,120,120,120,120,120,120,120,120,120,120,60,120
