Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Friday, September 18 13:58:49, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,PUQ1450T2FR,Version:,"-",LGMV:,8.3.5R,External:,"-"
Installer:,설치자,EEPROM:,"191.129(bf.81)",COMP:,"-",FAN:,"-"
Model:,PUQ1450T2FR,IDU NUM:,1,Connect:,ODU
Site:,표준,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Sub EEV,VI EEV1,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,IHEX 입구,IHEX 출구,,,,,,,,,,
1,13:58:49,0,,,0,0,0,,2824,1771,0,,1.56,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
2,13:58:51,0,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
3,13:58:53,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,0,0,0,0,3,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,54.00,3.9,220.0,220.0,,,,,,,,,,
4,13:58:55,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,0,0,0,0,3,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,54.00,3.9,220.0,220.0,,,,,,,,,,
5,13:58:57,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,0,0,0,0,6,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,54.00,3.9,220.0,220.0,,,,,,,,,,
6,13:58:59,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,210,0,0,0,10,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
7,13:59:01,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,210,0,0,0,10,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
8,13:59:03,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,430,0,0,0,13,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
9,13:59:05,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,430,0,0,0,13,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,54.00,3.9,220.0,220.0,,,,,,,,,,
10,13:59:07,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,0,950,660,0,0,0,17,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,54.00,3.9,220.0,220.0,,,,,,,,,,
11,13:59:09,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,1,950,660,0,0,0,17,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
12,13:59:11,1,,,0,703,0,,2824,1771,0,,1.56,12.0,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,47,1,950,860,0,0,0,20,0,0,,,,,45.9,220.0,48.1,29.9,52.0,47.8,220.0,53.00,3.9,220.0,220.0,,,,,,,,,,
