CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,4,300,7,14,100,4,21,204,4,11,280,7,43,280,204,10,21,64,317,204
2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,18,100,5,6,100,280,22,204,5,24,280,10,5,280,204,21,22,6,4,83
3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,15,300,5,10,300,5,22,204,25,5,280,10,12,280,29,11,25,96,4,83
4,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,7,300,360,22,100,280,21,204,348,21,280,4,4,11,120,21,21,6,6,32
5,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,8,300,4,11,100,280,30,205,4,5,280,12,5,280,409,21,30,96,83,83
6,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,5,300,149,411,300,4,21,205,8,14,280,6,9,280,4,19,29,96,30,83
7,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,9,300,149,488,100,4,31,205,5,4,280,22,12,5,86,5,5,4,6,29
8,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,15,300,5,169,100,280,21,206,4,41,280,6,8,280,462,11,22,96,167,30
9,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,5,300,4,7,300,28,21,205,5,75,280,75,6,280,103,23,33,96,303,32
10,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,17,300,6,4,100,240,27,206,4,6,280,5,4,13,11,26,21,324,283,83
11,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,5,300,162,216,100,162,324,206,15,4,280,41,10,162,323,21,324,324,324,83
12,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,5,300,162,4,300,162,324,205,4,45,280,12,6,280,162,21,324,324,324,45
13,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,6,300,5,245,100,162,323,206,7,32,280,6,29,280,283,29,323,323,284,29
14,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,6,300,150,221,100,5,29,206,400,5,280,6,23,11,271,29,29,323,282,30
15,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,4,300,26,64,300,12,30,206,255,30,280,5,30,280,243,30,30,324,324,30
16,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,4,300,149,28,300,7,30,207,5,10,280,9,30,10,243,30,202,162,281,30
17,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,4,300,31,34,300,31,31,207,31,31,280,31,31,31,264,22,202,5,4,31
18,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,4,300,151,500,100,162,31,207,8,31,280,31,31,31,207,31,324,324,283,31
19,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,7,300,205,379,300,4,31,207,31,31,280,400,31,31,243,31,203,324,29,31
20,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,7,300,14,332,100,11,31,207,10,30,280,6,31,280,243,31,22,324,324,31
21,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,5,300,400,6,100,280,31,208,5,31,280,31,31,31,243,160,243,324,324,31
22,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,17,300,360,37,100,280,31,208,4,75,280,8,30,280,9,31,21,64,10,31
23,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,7,300,21,225,300,11,31,208,31,31,280,6,31,280,273,31,4,95,7,31
24,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,6,300,10,12,300,22,31,208,31,31,280,5,31,280,208,31,31,64,309,31
25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,5,300,31,6,100,5,31,208,4,4,280,280,31,31,5,10,4,5,9,30
26,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,4,100,8,4,100,5,31,209,6,25,280,9,31,280,19,30,64,64,4,31
27,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,13,100,5,15,100,31,31,209,6,31,280,7,31,280,50,31,31,96,304,31
28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11,100,5,8,100,21,31,209,4,13,280,9,31,31,5,31,31,63,440,31
29,0.2,0.2,0.4,0.2,0.2,0.3,0.5,0.6,0.2,0.6,0.2,0.2,0.3,0.4,0.2,0.3,0.3,0.5,0.2,1,4,300,68,331,100,6,21,41,31,42,280,72,18,19,209,31,21,64,13,43
30,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,10,300,7,6,100,6,31,210,5,31,280,280,31,4,4,31,21,64,6,31
31,0.4,0.9,1,0.2,0.5,0.9,2.1,2.8,1.6,2.7,0.4,1.5,2.2,1.3,0.2,0.7,1.4,9.7,0.5,3.1,19,19,70,4,70,19,19,4,4,4,20,4,4,4,44,19,19,69,132,4
32,0.4,1,0.9,0.2,0.7,1,2.7,3.7,1.3,4.3,0.3,1.6,1.1,0.9,0.3,1.2,1.5,3.8,1.1,5.9,37,37,26,5,36,37,29,37,4,37,24,37,38,69,136,38,25,63,134,37
33,0.6,1,0.8,0.2,1.2,0.9,2.5,1.6,1.1,2,0.5,0.9,1.8,1.3,0.5,2.3,2.2,3,1.1,2.3,51,51,51,51,51,51,51,51,44,51,51,51,103,43,51,4,51,103,44,51
34,0.6,1.2,1.2,0.3,1.8,1,2.5,1.7,0.7,1.7,0.7,0.8,1,0.9,0.3,1.9,2.2,4.9,0.6,1.8,54,54,54,54,54,54,54,54,54,54,54,54,106,107,54,4,54,110,110,54
35,0.7,1.5,1.6,0.2,2.7,1.6,2.9,2.2,0.7,2.2,0.7,1,1.3,1.4,0.5,0.6,2.2,6.7,0.9,2.6,59,58,58,58,58,59,58,59,58,59,58,59,59,59,238,58,59,59,238,59
