CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,4,100,5,10,100,6,4,93,4,4,240,7,5,5,4,22,6,11,293,4
2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,5,100,15,321,100,9,20,93,22,6,6,160,4,14,151,5,21,6,303,79
3,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,7,300,11,4,100,32,20,94,343,5,240,5,13,6,397,5,34,11,396,4
4,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,4,100,5,107,100,5,20,94,94,33,240,5,4,8,10,17,24,7,4,5
5,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,4,300,13,9,100,168,20,94,5,5,4,5,19,120,72,10,28,8,4,4
6,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,7,100,6,14,100,385,20,93,67,6,240,7,4,7,201,8,4,4,7,92
7,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,8,100,7,8,100,4,34,93,4,5,240,4,19,5,5,25,7,81,4,34
8,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,20,300,4,5,100,4,18,93,120,4,240,6,7,68,120,7,93,68,11,417
9,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,5,100,80,18,100,4,20,94,400,4,240,16,9,41,28,17,4,10,6,45
