CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,14,300,103,12,100,8,7,296,296,4,240,5,295,240,8,5,245,5,137,85
2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,4,300,4,5,100,11,20,296,7,6,240,10,296,444,12,4,7,16,11,9
3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,6,300,203,5,100,5,4,295,469,10,280,11,10,9,4,6,9,12,4,7
4,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,5,300,11,6,100,20,6,295,7,9,240,17,6,13,79,5,325,8,5,20
5,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,5,300,8,4,100,17,4,293,4,4,240,48,4,5,478,7,324,324,324,16
6,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,4,300,5,4,300,5,324,293,7,23,240,4,360,240,293,9,324,324,324,41
7,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,6,300,27,5,100,5,324,293,4,4,240,5,5,240,441,16,324,324,324,27
8,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,4,300,28,5,100,9,28,292,5,28,240,8,29,10,467,28,28,344,303,28
9,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,17,300,29,439,300,29,29,29,7,29,240,29,29,29,14,29,29,29,4,29
10,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,7,300,29,229,100,30,29,30,30,30,240,34,30,4,5,30,30,29,6,30
11,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,10,300,30,4,100,30,30,30,30,30,240,30,30,30,7,30,30,30,5,30
12,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.2,30,30,30,4,100,30,30,30,30,30,240,30,30,30,323,30,30,30,4,30
13,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.1,0.2,30,300,31,425,100,31,30,31,30,31,240,30,31,30,20,31,31,31,324,31
14,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.2,4,31,31,4,100,31,31,31,31,31,240,31,31,31,6,31,31,31,5,31
15,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.2,0.2,0.2,5,300,31,4,100,31,31,31,31,31,240,31,31,31,288,31,31,31,4,31
16,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.2,31,31,31,38,100,31,31,31,31,31,240,31,31,31,4,31,31,31,5,31
17,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.2,0.2,0.2,31,31,31,9,100,31,31,31,31,31,31,31,31,31,305,31,31,31,18,31
18,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.2,31,31,31,7,100,31,31,31,31,31,240,31,31,31,23,31,31,31,6,31
19,0.1,0.2,0.1,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.1,0.2,31,31,31,4,100,31,31,31,31,31,240,31,31,31,86,31,31,31,5,31
20,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.2,31,31,31,4,100,31,31,31,31,31,31,31,31,31,182,31,31,31,7,31
21,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,31,31,31,135,100,31,31,31,31,31,31,31,31,31,4,31,31,31,10,31
22,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,31,31,31,7,100,31,31,31,31,31,240,31,31,31,120,31,31,31,5,31
