CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,29,180,300,29,29,5,29,81,29,11,29,11,11,29,180,4,11,48
2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,6,29,300,8,29,4,41,32,9,6,29,11,11,29,180,5,11,48
3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,48,130,180,4,10,16,41,29,20,21,41,11,11,48,180,5,11,48
4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,17,180,300,29,29,5,29,11,5,56,29,11,11,29,180,4,11,48
5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,5,180,300,29,31,4,10,31,4,4,41,11,11,31,300,13,48,48
6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,5,5,11,30,29,32,41,32,11,15,48,11,11,29,180,6,11,48
7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3,4,180,300,29,29,11,29,29,30,5,29,11,11,30,300,6,48,48
8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,6,180,180,31,30,4,30,34,10,117,30,11,48,4,300,19,11,48
9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,8,300,300,30,30,33,30,31,4,5,30,11,11,30,4,5,11,48
10,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,5,160,180,29,29,18,29,48,29,300,29,11,11,29,300,6,48,48
11,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,11,15,180,4,4,5,35,5,4,7,41,11,11,31,300,5,81,81
12,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,30,134,180,5,5,5,41,4,4,114,30,11,11,81,142,142,81,81
13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.6,6,300,180,29,29,33,29,32,29,12,29,11,11,29,142,142,81,81
14,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,6,6,300,31,31,5,81,33,31,300,31,11,11,31,142,142,81,81
15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,10,4,180,7,29,6,41,41,17,5,41,11,11,29,142,4,81,81
16,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.6,150,14,180,29,30,4,41,10,30,7,48,11,11,31,81,5,81,81
17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,60,4,300,30,30,10,41,32,31,115,30,11,14,32,142,132,11,48
18,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,29,8,300,29,29,4,29,29,29,119,29,11,14,29,6,4,11,48
19,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.5,6,4,180,30,30,7,41,31,30,5,30,11,14,30,300,6,81,81
20,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.5,4,11,14,31,31,31,81,31,31,25,31,11,14,31,81,7,81,81
21,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.5,130,180,300,29,29,4,29,32,32,37,29,11,14,29,81,21,81,81
22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.5,152,5,300,4,30,7,41,4,5,5,48,11,15,81,81,5,81,81
23,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,5,15,300,15,15,34,34,11,15,6,15,15,15,81,81,11,81,81
24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.6,48,121,300,29,29,4,15,15,15,6,29,15,15,81,81,4,81,81
25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,15,15,180,6,15,5,41,15,15,11,15,15,15,32,180,7,15,48
26,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.6,48,180,180,11,15,41,15,33,15,5,41,15,15,31,81,5,15,81
27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.5,6,180,15,29,15,28,41,15,15,31,15,15,15,48,5,5,15,81
28,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,5,52,15,32,30,5,15,30,15,6,15,15,15,30,300,4,15,81
29,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.6,7,11,180,30,15,11,81,31,15,4,30,15,15,30,81,10,81,81
30,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,8,49,180,29,30,41,29,4,15,10,41,15,15,30,81,5,81,81
31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.6,5,300,15,41,15,13,41,15,15,29,15,15,15,81,81,7,81,81
32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.5,4,8,180,4,15,4,29,15,15,15,15,15,15,29,81,6,81,81
33,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.5,65,4,180,6,15,41,41,15,15,88,41,15,15,48,81,4,81,81
34,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,4,300,180,29,15,4,41,32,15,11,48,15,15,48,180,9,15,48
35,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,22,6,15,29,29,29,29,18,15,6,29,15,15,29,300,5,15,48
