CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,7,11,48,29,29,41,41,25,48,125,48,11,48,41,107,5,11,48
2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,5,4,48,18,48,10,38,115,226,4,48,11,48,126,72,5,11,48
3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,11,16,84,4,6,11,41,13,48,124,48,11,48,48,48,5,11,48
4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,10,29,13,17,30,5,41,38,70,10,48,11,48,48,127,4,11,48
5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,4,4,45,32,29,11,41,47,32,150,48,11,48,48,9,4,11,48
6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,141,13,48,27,6,5,41,11,32,8,48,11,48,48,4,12,11,48
7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,29,7,31,29,29,41,29,54,48,9,48,11,48,48,10,4,48,48
8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,6,17,12,7,42,30,43,11,10,21,41,11,48,41,163,43,11,48
9,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,5,37,81,6,8,4,41,34,48,177,41,11,48,41,142,142,81,81
10,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,7,38,81,29,29,6,41,107,48,24,41,11,48,48,142,4,81,81
11,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,13,23,81,29,12,41,41,42,33,9,41,11,48,41,142,7,81,81
12,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,5,5,81,5,48,4,41,43,48,5,48,11,48,48,142,7,81,81
13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,81,134,81,5,48,29,41,41,31,11,48,11,48,113,141,142,81,81
14,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.6,18,82,48,4,4,8,29,9,48,150,48,11,48,4,142,11,81,81
15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,7,11,23,29,48,17,41,4,48,5,48,11,48,41,132,132,132,81
16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,4,220,11,29,4,6,41,56,48,23,48,11,48,48,12,5,11,48
17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,5,5,139,11,6,4,41,48,5,10,48,11,48,48,81,6,81,81
18,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,81,11,48,13,48,41,17,37,34,15,48,11,48,48,81,8,81,81
19,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,13,4,81,6,29,11,29,12,29,48,48,11,48,48,81,5,81,81
20,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,13,4,81,5,4,11,41,22,48,8,48,11,48,48,81,15,81,81
21,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,4,11,81,18,27,5,30,9,11,59,48,11,48,48,81,9,81,81
22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,155,4,81,48,18,172,29,41,29,36,48,11,48,48,80,81,81,81
23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.5,4,180,63,37,16,11,41,38,48,30,48,11,48,48,180,11,11,81
24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,4,180,81,32,48,41,41,5,48,41,48,11,48,48,142,142,81,81
25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.5,5,11,7,29,31,11,17,48,29,124,48,11,48,41,4,11,11,48
26,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.6,81,46,35,30,4,41,41,41,48,75,48,11,48,48,81,6,81,81
27,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,5,180,81,11,15,5,16,4,15,8,48,11,15,48,81,9,81,81
28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.6,9,11,5,29,14,4,29,82,15,22,15,15,15,48,81,5,81,81
29,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,4,16,48,13,31,11,29,5,48,60,48,11,15,48,4,12,81,81
30,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.5,5,50,48,34,15,38,41,68,15,25,15,15,15,48,81,8,81,81
31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.5,4,20,15,17,15,11,29,41,15,6,48,15,15,48,81,9,81,81
32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,4,20,15,18,15,11,30,15,15,6,15,15,15,48,20,11,15,48
33,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.3,5,11,16,28,15,41,41,15,15,6,15,15,15,48,6,15,15,48
34,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,140,14,89,31,15,4,32,15,15,17,15,15,15,6,8,6,15,48
35,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,16,67,15,11,15,41,41,15,15,6,15,15,15,48,16,6,15,48
36,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,5,46,23,8,15,7,41,15,15,112,15,15,15,48,8,4,15,48
37,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,7,6,15,11,4,22,41,15,15,58,48,11,15,48,5,5,15,48
38,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,4,15,4,68,41,29,15,15,5,15,11,15,48,71,4,15,48
39,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,7,5,35,4,15,41,11,173,15,6,15,11,15,41,51,5,15,48
40,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,8,27,7,29,4,5,29,48,15,4,15,11,15,48,48,7,15,48
41,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,29,197,23,29,15,15,29,15,29,74,15,15,15,48,180,4,15,48
42,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,9,17,15,4,4,15,41,41,15,4,15,11,15,48,48,5,15,48
43,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,142,180,15,29,15,41,29,31,15,7,48,15,15,48,8,5,15,48
44,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,35,17,48,32,15,41,29,11,15,18,15,11,15,41,15,5,15,48
45,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.1,0.2,0.3,0.3,9,5,12,11,15,10,12,15,15,11,15,11,15,48,4,7,11,48
46,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.2,0.6,0.2,0.1,0.2,0.4,0.3,9,15,16,30,20,34,20,34,15,10,15,11,20,40,6,5,15,48
47,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,4,86,15,6,15,4,41,15,15,150,15,11,15,48,6,5,15,48
48,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,75,5,76,6,15,41,41,43,15,150,15,11,15,61,6,8,15,48
49,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,7,45,15,4,4,15,41,15,15,30,48,15,15,6,139,4,15,48
50,0.2,0.2,0.4,0.6,0.6,0.4,0.7,0.3,0.5,0.2,0.8,0.9,1.6,0.6,0.2,0.3,1.2,2.3,7,7,18,18,20,6,20,21,20,10,39,6,20,39,66,6,38,26
51,0.6,0.5,0.5,1.4,1,1.1,1.6,0.8,0.9,0.4,1.1,3.5,1.4,0.7,0.4,0.7,3.2,4.4,8,10,9,10,10,10,10,8,10,9,8,9,10,21,10,9,8,10
52,0.4,0.3,0.7,0.6,2.1,0.9,2,0.7,2,0.3,1.8,2.8,4.2,0.8,0.4,0.6,2.8,3.6,14,14,16,14,16,15,15,26,16,14,16,14,16,16,132,14,14,27
53,0.4,0.3,1,1.2,4.8,2.3,4.1,2,4.5,0.3,3.3,2.6,8.9,2,0.5,1,3.9,3.8,8,19,18,18,18,20,18,20,18,18,18,21,18,20,20,20,18,42
54,0.5,0.4,1.3,1.2,1.6,1.5,2.3,1.2,1.6,0.4,2,4.1,3.1,1.6,0.5,1.2,3.5,5.6,25,25,25,24,24,24,24,24,24,24,46,24,24,24,140,24,24,23
55,0.6,0.5,1.8,1.5,1.7,2.4,3.5,0.8,1.1,0.5,1.2,3.6,2.4,2.1,0.4,1.1,3.5,3.8,26,26,26,26,26,26,26,26,26,26,52,26,26,5,154,26,26,26
56,0.7,0.6,2.1,1.8,1.7,2.2,2.9,0.8,1.5,0.5,1.7,4.2,2.5,2.4,0.3,1,3.4,4.8,27,26,27,27,27,27,27,26,27,27,53,27,27,27,79,27,27,27
57,0.8,0.7,3.1,3,2.4,1.4,2.9,0.9,2,0.8,1.7,5.3,2.6,1.9,0.3,1,2.6,5.1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,82,27,27,27
58,0.8,0.7,3,3.1,3.5,1.9,2.9,1.7,2.9,0.9,3.2,6.6,3.2,3.8,0.4,1.4,2.7,5.8,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29
59,0.7,0.6,2.7,2.9,6,3.5,2.1,3.5,5.4,0.5,6.9,6.5,3.6,6.7,0.5,2,2.3,6.2,30,30,30,30,30,29,29,29,30,29,30,30,29,30,30,30,36,29
60,0.7,0.5,2.1,4,6.3,3.7,2.9,3.6,5.5,0.4,7.5,5.1,3.4,7.1,0.6,2.1,2.9,5.3,31,31,31,31,31,31,31,31,31,62,31,31,31,31,31,31,31,31
61,1,0.7,1.9,5.7,5.9,3.7,4.4,3.4,5.1,0.5,7.3,3.9,4.1,6.6,0.7,1.9,4.4,4.2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,64,32,32,32
62,1.2,1.1,2.6,5.5,6,4.1,4.6,3.2,5.3,0.7,7.2,4.2,4.5,6.3,0.9,2.3,5.6,3.5,33,33,33,33,33,33,33,33,33,33,33,33,33,33,66,33,33,33
63,1.7,1.4,2.9,5.3,5.8,3.6,5.4,2.7,5.1,1,6,4.5,4.5,5.1,1,2.2,6.9,2.1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,68,34,34,34
64,1.7,1.2,3.1,4.4,5.8,2,5.1,1.9,5.1,0.9,3.8,3.8,3.9,4.2,0.8,1.7,7.3,2.8,35,35,35,35,35,35,35,35,35,35,35,35,35,35,141,35,35,35
65,1.4,1.1,2.9,4,5.8,1.3,3.6,2,5.2,0.8,4.2,2.9,3.6,4.3,0.9,1.7,7.4,3.9,36,36,36,36,36,36,36,36,36,36,36,36,36,36,145,36,36,36
66,1.4,1,2.9,3.7,6.3,2.3,2.9,2.6,5.5,0.8,5.4,2,3.4,5,0.8,1.8,7.7,4.7,37,37,37,37,37,37,37,37,37,37,37,37,37,37,149,149,37,37
67,1.4,0.9,3,3.6,6.8,3.1,2.1,3.3,6.4,0.9,6.9,2.6,3.2,6.2,1.1,2.3,7.6,4,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,152,38,38
68,1.6,0.8,3.6,3.3,7.1,4.4,2.4,4,7,1,8.3,4.5,3,7.3,1.1,2.8,8.2,2.8,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,78
69,1.6,0.7,3.7,2.8,7.3,4.6,3.1,4.2,7,1.1,8.7,5.7,2.5,7.7,1.2,2.8,7.7,2.7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
70,1.6,0.9,3.6,2.1,6.5,4.6,3.2,4.1,6.3,1,8.3,5.9,2.4,7.4,1.3,2.4,7.6,4.2,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
71,1.6,0.9,3.3,1.6,5.7,4.1,3.2,3.6,5.4,1,7.2,5.8,2.3,6.6,1.6,2.2,6.6,5,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
72,1.6,1,2.9,2.3,4.7,3.6,3,3.1,4.7,0.8,6.5,5.3,4.4,6.3,2.2,2.8,5.9,5.9,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
73,1.3,1.2,2.4,2.2,4,3.5,3.7,2.9,3.8,0.7,5.7,5.3,9,6.6,2.6,3.9,4.9,4.9,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,89,44
74,1.5,1.4,2.4,2.2,3.1,4,4.2,2.6,2.9,0.9,5.6,4.8,10,6.3,2.5,4.1,4.7,4.1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,91,91
75,1.5,1.5,2.6,2,3.4,3.4,4,2.3,3.3,0.9,5.1,4.4,9.2,5,1.8,2.9,5.3,7,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,93,46
76,1.6,1.4,2.6,1.7,3.5,2.8,3.3,2.1,3.4,0.9,5,4.2,7.7,4.1,1.6,1.8,5.8,8.8,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,95,47
77,1.6,1.5,2.6,1.7,3.5,2.6,3,2,3.3,1,4.8,4.2,6.9,3.7,1.4,1.4,5.2,6.7,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,97,97
78,1.7,1.5,2.8,1.6,3.9,2.7,2.9,2.1,3.9,0.9,4.5,4.8,7.4,3.8,1.4,1.3,4.4,6.6,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,99,99
79,1.6,1.3,2.6,1.5,2.8,2,2.2,1.7,3,0.8,3.5,3.5,5.2,2.7,1.1,1.3,3.1,5.7,50,50,101,101,50,50,50,50,50,50,50,50,50,50,50,202,101,101
80,1.9,1.4,3.1,2,3.5,2.5,2.3,2.1,3.8,0.9,3.3,3.2,5.7,3.1,1.1,1.2,3.3,4.9,103,51,103,103,51,51,51,51,51,51,51,51,51,51,51,206,103,103
81,2.2,1.2,3.4,2.5,3.5,2.5,2.6,2,3.5,1,3.4,3.3,5.4,3.2,1.2,1.2,3.6,3.6,52,105,105,52,52,52,52,52,52,52,52,52,52,52,52,209,105,52
82,2.2,1.1,3.4,2.9,3.6,2.6,2.5,2,3.5,1,3.3,3.6,5.6,3,1.2,1.3,3.4,3.6,105,105,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
83,2.3,1.3,3.7,3.3,3.7,2.4,2.5,1.9,3.6,1.1,3.4,3.8,6.1,2.9,1.3,1.3,3.6,3.5,105,105,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
84,2.4,1.2,3.7,3.2,3.8,2.6,2.7,2.1,3.8,1.1,3.7,4.1,5.9,3.2,1.2,1.3,3.8,3.4,105,105,105,105,52,52,52,52,52,52,52,52,52,52,52,210,105,52
85,2.3,1.2,3.6,2.8,4.2,2.6,2.7,2.2,3.8,1,3.7,4.2,5.8,2.9,1.3,1.4,3.6,3.4,105,105,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
86,2.3,1.3,3.5,2.4,3.8,2.5,2.5,2.1,3.8,1.1,3.5,3.9,6.1,2.8,1.3,1.3,3.7,3.3,105,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
87,2.2,1.4,3.5,2.4,3.8,2.6,2.6,2.2,3.9,1,3.8,3.9,6.3,3.1,1.2,1.2,3.7,3.3,105,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
88,2.1,1.3,3.4,2.4,3.8,2.5,2.6,2.2,3.9,1.1,3.6,3.8,6.2,3,1.2,1.2,3.5,3.1,105,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
89,2.1,1.4,3.3,2.3,3.8,2.6,2.5,2.2,3.9,1,3.6,3.8,6.3,2.8,1.2,1.4,3.5,3.1,52,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
90,2.1,1.4,3.3,2.1,4,2.9,2.7,2.1,4,1.1,3.7,3.7,6.3,2.9,1.2,1.4,3.5,3.2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
91,2.1,1.5,3.2,2.2,3.7,2.6,2.5,2.2,3.9,1.1,3.7,3.8,6.2,2.9,1.2,1.5,3.6,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
